prompt_index,timestamp_ns,prompt_text,typed_text,match
0,22978288958,our backup window starts at 2 am and ends at 4 am,our backup window starts at 2 am and ends at 4 am,YES
1,56178153000,ticket 7812 was reopened after the nightly test failed,ticket 7812 was reopened after the nightly test failed,YES
2,93761820416,please verify that user 42 can access report 9,please verify that user 42 can access report 9,YES
3,126625379000,server 3 reached 92 percent cpu for 15 minutes,server 3 reached 92 percent cpu for 15 minutes,YES
4,156249211875,we booked table 12 for 5 people at 7 pm,we booked table 12 for 5 people at 7 pm,YES
5,188412635041,batch 608 processed 144 files in 27 seconds,batch 608 processed 144 files in 27,NO
5,216080673750,batch 608 processed 144 files in 27 seconds,batch 608 processed 144 files in 27 seconds,YES
6,251243905875,meeting room 11 is reserved from 10 to 11,meeting room 11 is reserved from 10 to 11,YES
7,281187233916,the train leaves platform 6 at 8 35 tomorrow,the train leaves platform 6 at 8 35 tomorrow,YES
8,314083694375,device 19 reported error code 503 twice today,device 19 reported error code 503 twice today,YES
9,343342483375,set reminder 30 minutes before the 6 pm call,set reminder 30 minutes before the 6 pm call,YES
10,373073946000,order 4409 includes 2 cables and 1 adapter,order 4409 includes 2 cables and 1 adapter,YES
11,403869053666,my package arrived on april 3 at 9 20 am,my package arrived on april 3 at 9 20 am,YES
12,430910578708,please archive log folder 7 before june 1,please archive log folder 7 before june 1,YES
