prompt_index,timestamp_ns,prompt_text,typed_text,match
0,8681342625,the quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog,YES
1,26109409166,pack my box with five dozen liquor jugs,pack my box with five dozen liquor jugs,YES
2,39130312875,how vexingly quick daft zebras jump,how vexingly quick daft zebras jump,YES
3,51323925791,the five boxing wizards jump quickly,the five boxing wizards jump quickly,YES
4,63937566833,sphinx of black quartz judge my vow,sphinx of black quartz judge my vow,YES
5,76662960333,i need to buy some groceries from the store today,i need to buy some groceries frome the store today,NO
5,92809612625,i need to buy some groceries from the store today,i need to byg some groceries from the store toady,NO
5,111636076416,i need to buy some groceries from the store today,i need to buy some groceries from the store today,YES
6,129626126083,please send me the report before friday afternoon,please send me the report before friday afternoon,YES
7,143251774166,she walked quickly through the park and sat on a bench,she walked quickly through the park and sat on a bench,YES
8,156972028500,we should meet at the coffee shop around noon,we should meet at the coffee shop around noon,YES
9,169871152958,the weather forecast says it will rain tomorrow morning,the weather forecast says it will rain tomorrow morning,YES
10,188985746791,can you help me fix this problem with my computer,can you help me fix this problem with my computer,YES
11,204338488916,he finished reading the entire book in just two days,he finished reading the entire book in just two days,YES
12,220893081083,my favorite subject in school was always mathematics,my favorite subject in school was always mathematics,YES
