prompt_index,timestamp_ns,prompt_text,typed_text,match
0,6572434291,our backup window starts at 2 am and ends at 4 am,our backup window starts at 2 am and ends at 4 am,YES
1,21448107250,ticket 7812 was reopened after the nightly test failed,ticket 7812 was reopened after the nightly test falied,NO
1,38809736750,ticket 7812 was reopened after the nightly test failed,ticket 7812 was reopened after the nightly test failed,YES
2,56246434333,please verify that user 42 can access report 9,please verify that user 42 can access report 9,YES
3,71477596208,server 3 reached 92 percent cpu for 15 minutes,server 3 reached 92 percent cpu for 15 minutes,YES
4,86034640625,we booked table 12 for 5 people at 7 pm,we booked table 12 for 5 people at 7 pm,YES
5,98915172083,batch 608 processed 144 files in 27 seconds,batch 608 processed 144 files in 27 seconds,YES
6,112519822083,meeting room 11 is reserved from 10 to 11,meeting room 11 is reserved from 10 to 11,YES
7,125598379458,the train leaves platform 6 at 8 35 tomorrow,the train leaves platform 6 at 8 35 tomorrow,YES
8,141633219916,device 19 reported error code 503 twice today,device 19 reported erroe code 503 twice today,NO
8,155856828583,device 19 reported error code 503 twice today,device 19 reported erroe code 503 twice today,NO
8,173052091666,device 19 reported error code 503 twice today,device 19 reported erroe code 503 twice toady,NO
8,190039247500,device 19 reported error code 503 twice today,device 19 reported error code 503 twice today,YES
9,212758588458,set reminder 30 minutes before the 6 pm call,set reminder 30 minutes before the 6 pm call,YES
10,227201903875,order 4409 includes 2 cables and 1 adapter,order 4409 includes 2 cables and 1 adapter,YES
11,240270229458,my package arrived on april 3 at 9 20 am,my package arrived on april 3 at 9 20 am,YES
12,253770342625,please archive log folder 7 before june 1,please archive log folder 7 before june 1,YES
