prompt_index,timestamp_ns,prompt_text,typed_text,match
0,6355460208,version 2 point 0 was released on october 15,version 2 point 0 was released on october 15,YES
1,23989613000,there are exactly 365 days in a regular year,there are exactly 365 days in a regular year,YES
2,40812484500,the library opens at 9 am and closes at 8 pm,the library opens at 9 am and closed at 8 pm,NO
2,54914948791,the library opens at 9 am and closes at 8 pm,the library opens at 9 am and closes at 8 pm,YES
3,77561352458,she scored 97 out of 100 on the final exam,she scored 97 out of 100 on the final exam,YES
4,91217872291,working from home has become much more common since 2020 and many people prefer it,working from home has become much more common since 2020 and many people prefer it,YES
5,112222903208,the restaurant on 5th avenue serves excellent pasta and their prices are very reasonable,the restaurant on 5th avenue serves excellent pasta and their prices are very reasonable,YES
6,142007929208,i just finished watching a 3 hour documentary about deep ocean exploration,i just finished watching a 3 hour documentary about deep ocean exploration,YES
7,166640471083,please update your profile with your new address before december 31,please update your profile with your new address before december 31,YES
8,185402340291,the concert tickets cost 75 dollars each and we need 4 of them,the concert tickets cost 75 dollars each and we need 4 of them,YES
9,205063361166,the quiz was extremely difficult but quite fair overall,the quiz was extremely difficult but quite fair overall,YES
10,220998729750,jazz musicians often explore complex rhythms and exotic scales,jazz musicians often explore complex rhythms and exotic scales,YES
11,243864550541,the zookeeper examined the injured fox very carefully,the zookeeper examined the jnjured fox very carefully,NO
11,262400243416,the zookeeper examined the injured fox very carefully,the zookeeper examined the injured fox very carefully,YES
12,280052791500,six juicy steaks sizzled in a pan while the chef relaxed,six juicy steaks sizzled in a pan while the chef relaxed,YES
